,,,,,,,,,
"Прайс Promodelsport",,,,,,,,,
,,,,,,,,,
"Вид номенклатуры",,,"Производитель","Артикул ",,"Номенклатура","Цена: Дилер (USD)","Цена: Опт (USD)","Цена: Розница (UAH)"
"Автомобили",,,"Thunder Tiger","6225-F114",,"Автомобиль Thunder Tiger MTA-4 Sledge Hammer S50. Nitro PRO Monster Truck 1:8 RTR 558 мм 4WD 2,4 ГГц (6225-F114)","380,00","400,00","13 490,00"
"Автомобили",,,"Thunder Tiger","6572-F271",,"Автомобиль Thunder Tiger Phoenix XB Brushless Buggy 1:10 RTR 373 мм 2WD 2,4 ГГц (6572-F271)","150,00","160,00","5 090,00"
"Автомобили",,,"Thunder Tiger","6572-F272",,"Автомобиль Thunder Tiger Phoenix XB Brushless Buggy 1:10 RTR 373 мм 2WD 2,4 ГГц (6572-F272)","150,00","160,00","5 090,00"
"Автомобили",,,"Thunder Tiger","6535-F270",,"Автомобиль Thunder Tiger Sparrowhawk VX Ford GT 1:10 RTR 4WD 368 мм 2,4 ГГц (6535-F270)","152,00","165,00","5 790,00"
"Автомобили",,,"Thunder Tiger","6536-F271",,"Автомобиль Thunder Tiger Sparrowhawk XB Buggy 1:10 RTR 4WD 394 мм 2,4 ГГц (6536-F271)","152,00","168,00","5 790,00"
"Автомобили",,,"Thunder Tiger","6542-F271",,"Автомобиль Thunder Tiger Sparrowhawk XXB Brushless Buggy 1:10 RTR 394 мм 4WD 3CH 2,4 ГГц (6542-F271)","219,00","230,00","7 590,00"
"Автомобили",,,"Thunder Tiger","6542-F281",,"Автомобиль Thunder Tiger Sparrowhawk XXB Brushless Buggy 1:10 RTR 394 мм 4WD 3CH 2,4 ГГц (6542-F281)","219,00","230,00","7 590,00"
"Автомобили",,,"Thunder Tiger","6542-F282",,"Автомобиль Thunder Tiger Sparrowhawk XXB Brushless Buggy 1:10 RTR 394 мм 4WD 3CH 2,4 ГГц (6542-F282)","219,00","230,00","7 590,00"
"Автомобили",,,"Thunder Tiger","6233-F101",,"Автомобиль Thunder Tiger ST-1 Stadium Truck 28 Nitro PRO 1:8 RTR 485 мм 4WD 2,4 ГГц (6233-F101)","310,00","330,00","10 890,00"
"Автомобили",,,"Thunder Tiger","6233-F102",,"Автомобиль Thunder Tiger ST-1 Stadium Truck 28 Nitro PRO 1:8 RTR 485 мм 4WD 2,4 ГГц (6233-F102)","310,00","330,00","10 890,00"
"Автомобили",,,"Thunder Tiger","6233-F111",,"Автомобиль Thunder Tiger ST-1 Stadium Truck 28 Nitro PRO 1:8 RTR 485 мм 4WD 2,4 ГГц (6233-F111)","310,00","330,00","10 890,00"
"Автомобили",,,"Thunder Tiger","6233-F113",,"Автомобиль Thunder Tiger ST-1 Stadium Truck 28 Nitro PRO 1:8 RTR 485 мм 4WD 2,4 ГГц (6233-F113)","310,00","330,00","10 890,00"
"Автомобили",,,"Thunder Tiger","6195-F281",,"Автомобиль Thunder Tiger Tomahawk BX.18 Nitro PRO Buggy 1:10 RTR 390 мм 4WD 2,4 ГГц (6195-F281)","185,00","195,00","6 590,00"
"Автомобили",,,"Thunder Tiger","6195-F282",,"Автомобиль Thunder Tiger Tomahawk BX.18 Nitro PRO Buggy 1:10 RTR 390 мм 4WD 2,4 ГГц (6195-F282)","185,00","195,00","6 590,00"
"Автомобили",,,"Thunder Tiger","6195-F284",,"Автомобиль Thunder Tiger Tomahawk BX.18 Nitro PRO Buggy 1:10 RTR 390 мм 4WD 2,4 ГГц (6195-F284)","185,00","195,00","6 590,00"
"Автомобили",,,"TLR","TLR03000",,"Автомобиль TLR TEN-SCTE 2.0 Short Course 1:10 KIT 524 мм 4WD (TLR03000)","415,00","430,00","12 690,00"
"Автомобили",,,"TLR","TLR04001",,"Автомобиль гоночный TLR 8IGHT-T 3.0 Nitro Race Truggy 1:8 KIT 476 мм 4WD (TLR04001)","515,00","530,00","16 490,00"
"Автомобили",,,"Traxxas","24054-1 Black",,"Автомобиль Traxxas Bandit XL-5 Buggy 1:10 RTR 413 мм 2WD 2,4 ГГц (24054-1 Black)","207,00","220,00","7 390,00"
"Автомобили",,,"Traxxas","24054-1 Blue",,"Автомобиль Traxxas Bandit XL-5 Buggy 1:10 RTR 413 мм 2WD 2,4 ГГц (24054-1 Blue)","207,00","220,00","7 390,00"
"Автомобили",,,"Traxxas","24054-1 Red",,"Автомобиль Traxxas Bandit XL-5 Buggy 1:10 RTR 413 мм 2WD 2,4 ГГц (24054-1 Red)","207,00","220,00","7 390,00"
"Автомобили",,,"Traxxas","24054-1 Silver",,"Автомобиль Traxxas Bandit XL-5 Buggy 1:10 RTR 413 мм 2WD 2,4 ГГц (24054-1 Silver)","207,00","220,00","7 390,00"
"Автомобили",,,"Traxxas","36094-1 Brown",,"Автомобиль Traxxas Craniac Monster 1:10 RTR 413 мм 2WD 2,4 ГГц (36094-1 Brown)","200,00","230,00","7 090,00"
"Автомобили",,,"Traxxas","36094-1 Red",,"Автомобиль Traxxas Craniac Monster 1:10 RTR 413 мм 2WD 2,4 ГГц (36094-1 Red)","200,00","230,00","7 090,00"
"Автомобили",,,"Traxxas","39087-1 Red",,"Автомобиль Traxxas E-Maxx Brushless Monster 1:10 RTR 571 мм 4WD 2,4 ГГц (39087-1 Red)","650,00","680,00","22 790,00"
"Автомобили",,,"Traxxas","39087-1 Silver",,"Автомобиль Traxxas E-Maxx Brushless Monster 1:10 RTR 571 мм 4WD 2,4 ГГц (39087-1 Silver)","650,00","680,00","22 790,00"
"Автомобили",,,"Traxxas","39036-1 Black",,"Автомобиль Traxxas E-Maxx EVX Monster 1:10 RTR 518 мм 4WD 2,4 ГГц (39036-1 Black)","430,00","450,00","15 190,00"
